Timestamp,Station,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
2024-01-27,Vivek_vihar,194.78,319.35,60.36,2.17,8.62,297.33615221987316
2024-01-28,Ashok_Vihar,248.58,484.04,99.17,2.24,5.82,380.04
2024-01-28,ITO,233.8,276.17,169.87,2.39,28.7,338.5835095137421
2024-01-28,Sonia_Vihar,321.66,535.59,74.63,2.54,10.45,431.59000000000003
2024-01-28,Patparganj,295.34,477.7,53.94,2.06,6.98,403.6363636363636
2024-01-28,Mandir Marg,252.8,346.98,105.2,1.69,4.35,358.6680761099366
2024-01-28,Vivek_vihar,308.26,429.08,66.56,3.08,6.37,417.29386892177587
2024-01-29,Ashok_Vihar,198.81,418.51,62.39,1.74,7.73,314.51
2024-01-29,Mandir Marg,208.88,326.0,98.16,1.37,4.73,312.2410147991543
2024-01-29,Vivek_vihar,246.53,372.99,64.4,1.77,7.12,352.0401691331924
2024-01-29,Sonia_Vihar,254.2,430.7,61.14,1.9,24.93,360.14799154334037
2024-01-29,Patparganj,217.89,371.31,45.61,1.45,4.3,321.76532769556025
2024-01-29,Anand Vihar,234.3,404.18,84.95,1.16,16.09,339.1120507399577
2024-01-29,ITO,186.45,228.91,52.83,0.58,30.48,288.5306553911205
2024-01-30,Ashok_Vihar,191.77,393.52,57.05,1.95,5.02,294.15433403805497
2024-01-30,Mandir Marg,247.51,374.24,94.37,1.95,1.62,353.076109936575
2024-01-30,Sonia_Vihar,190.77,284.14,42.85,1.84,7.62,293.09725158562367
2024-01-30,Anand Vihar,289.84,464.52,93.01,0.67,15.35,397.8224101479915
2024-01-30,Patparganj,277.11,469.02,48.47,1.79,5.07,384.36575052854124
2024-01-30,Vivek_vihar,272.92,388.3,57.2,2.11,3.96,379.9365750528541
2024-01-30,ITO,214.25,260.27,67.84,1.86,26.86,317.91754756871035
2024-01-31,Anand Vihar,265.73,349.77,96.5,0.77,33.48,372.33615221987316
2024-01-31,ITO,215.23,280.19,78.67,2.29,25.21,318.95348837209303
2024-01-31,Sonia_Vihar,253.23,334.14,56.35,2.39,9.58,359.122621564482
2024-01-31,Mandir Marg,237.51,326.98,92.56,1.24,1.88,342.50528541226214
2024-01-31,Patparganj,187.43,295.5,47.11,1.66,7.64,289.5665961945032
2024-01-31,Ashok_Vihar,174.69,331.98,70.83,1.97,5.08,276.09936575052853
2024-01-31,Vivek_vihar,288.97,380.54,63.04,2.21,23.67,396.90274841437633
2024-02-01,Vivek_vihar,72.17,117.14,46.57,0.69,8.89,167.72727272727272
2024-02-01,Anand Vihar,66.89,99.25,59.72,1.54,15.71,162.14587737843553
2024-02-01,Patparganj,29.05,74.98,36.61,0.29,4.37,86.43162393162393
2024-02-01,Ashok_Vihar,87.93,138.91,42.54,2.3,5.16,184.38689217758986
2024-02-01,ITO,109.37,139.53,38.39,1.14,23.35,207.0507399577167
2024-02-01,Sonia_Vihar,87.01,118.22,46.09,1.51,19.06,183.41437632135307
2024-02-02,Vivek_vihar,136.75,180.56,46.7,1.18,5.72,235.9936575052854
2024-02-02,Patparganj,76.36,187.96,39.22,0.48,2.93,172.15644820295984
2024-02-02,Sonia_Vihar,110.64,161.3,39.73,1.36,15.72,208.39323467230443
2024-02-02,Anand Vihar,103.95,200.05,75.73,2.37,15.25,201.3213530655391
2024-02-02,Ashok_Vihar,100.43,165.99,46.84,3.19,5.79,197.600422832981
2024-02-02,ITO,76.91,99.19,36.15,1.3,24.5,172.73784355179703
2024-02-03,Patparganj,84.04,236.44,48.31,1.27,3.94,180.27484143763215
2024-02-03,Anand Vihar,119.99,372.35,111.81,2.86,15.8,268.35
2024-02-03,Sonia_Vihar,104.46,271.79,59.36,1.76,21.02,201.86046511627907
2024-02-03,Vivek_vihar,126.42,254.21,66.04,1.87,7.46,225.07399577167018
2024-02-03,Ashok_Vihar,110.86,229.07,66.05,3.49,5.72,208.62579281183932
2024-02-03,ITO,76.61,110.72,40.21,1.55,28.0,172.42071881606765
2024-02-04,Anand Vihar,140.93,239.51,82.32,2.42,22.52,240.4122621564482
2024-02-04,Vivek_vihar,144.99,210.69,49.4,1.34,9.92,244.70401691331924
2024-02-04,Ashok_Vihar,133.84,208.7,55.98,2.7,5.08,232.91754756871035
2024-02-04,ITO,109.94,138.05,64.23,1.61,22.69,207.65327695560254
2024-02-04,Patparganj,104.56,240.9,40.21,0.91,4.47,201.9661733615222
2024-02-04,Sonia_Vihar,149.73,253.72,55.23,1.63,12.66,249.71458773784354
2024-02-05,Anand Vihar,85.43,194.62,66.78,2.21,19.16,181.74418604651163
2024-02-05,Patparganj,62.94,160.28,33.18,0.54,4.15,157.97040169133192
2024-02-05,Mandir Marg,85.58,148.62,65.94,1.29,14.21,181.90274841437633
2024-02-05,Sonia_Vihar,84.21,136.47,28.73,1.13,20.98,180.45454545454544
2024-02-05,ITO,61.89,82.75,16.0,0.87,24.41,156.86046511627907
2024-02-05,Ashok_Vihar,87.01,152.43,28.33,1.39,5.65,183.41437632135307
2024-02-05,Vivek_vihar,100.12,143.46,33.08,0.66,9.33,197.27272727272728
2024-02-06,Patparganj,62.58,166.89,38.72,0.74,21.35,157.58985200845666
2024-02-06,Vivek_vihar,72.76,148.26,41.81,0.65,9.67,168.3509513742072
2024-02-06,Mandir Marg,67.41,124.45,81.51,1.38,12.29,162.6955602536998
2024-02-06,Ashok_Vihar,72.44,167.7,43.79,1.27,7.78,168.01268498942918
2024-02-06,Sonia_Vihar,70.91,161.72,36.79,1.29,29.24,166.3953488372093
2024-02-06,ITO,52.27,74.11,23.99,1.04,35.98,142.175
2024-02-06,Anand Vihar,81.64,258.3,77.25,1.84,18.85,177.73784355179703
2024-02-07,Anand Vihar,78.76,243.27,70.93,1.33,18.59,174.69344608879493
2024-02-07,Mandir Marg,74.26,144.07,88.16,0.94,18.34,169.93657505285412
2024-02-07,Ashok_Vihar,79.94,164.31,38.52,1.2,10.33,175.94080338266386
2024-02-07,Patparganj,65.8,181.29,37.8,0.51,41.32,160.9936575052854
2024-02-07,Sonia_Vihar,75.06,178.17,37.04,1.11,43.38,170.78224101479915
2024-02-07,ITO,63.07,88.98,15.57,0.82,57.36,158.107822410148
2024-02-07,Vivek_vihar,77.94,174.4,47.29,0.57,14.0,173.82663847780128
2024-02-08,Vivek_vihar,80.23,164.47,42.81,0.58,19.54,176.24735729386893
2024-02-08,Mandir Marg,71.94,136.25,90.9,1.12,21.05,167.48414376321352
2024-02-08,Anand Vihar,71.46,197.66,66.12,1.28,18.27,166.97674418604652
2024-02-08,ITO,54.32,75.43,10.73,0.77,65.19,147.3
2024-02-08,Ashok_Vihar,71.74,156.53,31.74,1.26,14.16,167.27272727272728
2024-02-08,Sonia_Vihar,68.38,141.93,33.24,1.14,57.17,163.72093023255815
2024-02-08,Patparganj,63.72,155.53,36.54,0.54,46.94,158.79492600422833
2024-02-09,Ashok_Vihar,89.94,190.21,59.35,1.43,10.13,186.51162790697674
2024-02-09,ITO,73.03,100.51,43.15,1.8,66.34,168.63636363636363
2024-02-09,Mandir Marg,75.43,139.57,82.37,1.94,23.99,171.17336152219875
2024-02-09,Patparganj,73.26,191.0,39.84,1.09,35.38,168.87949260042285
2024-02-09,Sonia_Vihar,71.98,167.6,42.89,1.43,57.6,167.52642706131078
2024-02-09,Vivek_vihar,84.75,182.75,56.54,1.19,18.46,181.02536997885835
2024-02-09,Anand Vihar,92.89,300.43,114.31,1.82,18.41,196.43
2024-02-10,ITO,170.59,206.92,105.18,2.25,53.43,271.76532769556025
2024-02-10,Vivek_vihar,222.99,339.52,66.09,1.46,12.83,327.15644820295984
2024-02-10,Ashok_Vihar,194.49,352.25,73.91,1.32,9.0,297.0295983086681
2024-02-10,Patparganj,201.33,403.02,49.49,1.47,37.45,304.2600422832981
2024-02-10,Mandir Marg,175.13,264.24,104.93,1.72,18.8,276.5644820295983
2024-02-10,Sonia_Vihar,162.91,289.4,54.38,1.45,52.2,263.6469344608879
2024-02-10,Anand Vihar,218.86,445.73,115.17,1.35,29.17,341.73
2024-02-11,Anand Vihar,179.1,357.31,112.68,1.43,18.9,280.7610993657505
2024-02-11,ITO,128.41,153.13,45.18,1.76,57.05,227.17758985200845
2024-02-11,Patparganj,159.31,329.23,48.7,0.98,34.02,259.8414376321353
2024-02-11,Ashok_Vihar,152.28,277.08,62.51,1.33,10.14,252.41014799154334
2024-02-11,Mandir Marg,158.23,237.59,104.29,1.27,18.52,258.69978858350953
2024-02-11,Sonia_Vihar,184.05,314.03,53.12,1.43,52.74,285.99365750528546
2024-02-11,Vivek_vihar,173.18,268.94,58.76,1.04,12.58,274.5031712473573
2024-02-12,Sonia_Vihar,168.41,312.41,49.43,1.6,43.36,269.46088794926004
2024-02-12,Patparganj,139.09,327.26,47.18,1.19,25.56,238.46723044397464
2024-02-12,Ashok_Vihar,142.18,300.16,72.15,1.24,8.3,241.73361522198732
2024-02-12,Anand Vihar,190.43,375.65,120.9,2.09,19.55,292.737843551797
2024-02-12,Mandir Marg,159.24,255.84,105.87,0.95,15.54,259.7674418604651
2024-02-12,Vivek_vihar,192.88,296.36,65.58,1.34,9.54,295.3276955602537
2024-02-12,ITO,126.6,154.28,48.65,1.81,40.04,225.2642706131078
2024-02-13,Patparganj,166.64,402.95,52.58,1.64,21.09,298.95
2024-02-13,ITO,158.16,178.33,79.71,2.76,39.28,258.62579281183935
2024-02-13,Mandir Marg,217.54,321.29,104.59,1.58,12.52,321.3953488372093
2024-02-13,Anand Vihar,259.0,511.27,148.12,2.94,20.23,407.27
2024-02-13,Sonia_Vihar,219.42,400.55,61.67,2.15,44.15,323.3826638477801
2024-02-13,Vivek_vihar,262.38,406.9,80.48,2.41,11.0,368.7949260042283
2024-02-13,Ashok_Vihar,215.25,406.82,102.01,1.53,5.97,318.97463002114165
2024-02-14,Vivek_vihar,213.33,328.27,64.18,1.37,10.3,316.94503171247356
2024-02-14,Anand Vihar,211.74,422.15,122.77,1.44,19.54,318.15
2024-02-14,Sonia_Vihar,192.95,354.25,56.87,1.76,44.94,295.40169133192387
2024-02-14,Ashok_Vihar,169.08,317.62,69.88,1.09,6.65,270.16913319238904
2024-02-14,ITO,138.54,143.77,44.32,1.8,51.88,237.8858350951374
2024-02-14,Patparganj,147.55,368.17,48.5,1.38,25.2,264.17
2024-02-14,Mandir Marg,176.61,254.24,87.69,1.51,18.61,278.1289640591966
2024-02-15,Anand Vihar,142.46,345.82,122.23,1.12,19.43,242.02959830866808
2024-02-15,ITO,123.1,195.78,36.35,1.53,46.61,221.5644820295983
2024-02-15,Ashok_Vihar,130.19,263.52,73.66,1.09,7.79,229.05919661733614
2024-02-15,Mandir Marg,128.61,162.43,97.82,1.18,15.06,227.38900634249472
2024-02-15,Vivek_vihar,142.15,242.25,61.95,1.28,15.26,241.70190274841437
2024-02-15,Sonia_Vihar,140.33,304.85,54.22,1.65,54.74,239.77801268498945
2024-02-15,Patparganj,103.17,275.94,46.65,1.01,26.06,200.4968287526427
2024-02-16,Mandir Marg,116.49,152.78,93.1,1.12,15.43,214.57716701902748
2024-02-16,Vivek_vihar,126.34,205.03,50.15,0.7,15.69,224.98942917547566
2024-02-16,Sonia_Vihar,134.14,261.9,55.96,1.41,53.07,233.23467230443973
2024-02-16,Patparganj,87.31,254.65,44.76,1.06,32.64,183.73150105708245
2024-02-16,ITO,141.29,225.32,48.25,1.84,45.62,240.79281183932346
2024-02-16,Anand Vihar,130.44,340.44,127.49,2.12,20.14,236.44
2024-02-16,Ashok_Vihar,119.31,263.11,86.39,1.08,7.84,217.5581395348837
2024-02-17,ITO,134.6,213.48,72.29,1.97,42.57,233.72093023255815
